partner_id,prob_default,nova_score,decision_fair,decision_baseline
21282,0.04527372965115833,825.0994486918629,0,0
12409,0.07584878096791682,808.2831704676457,0,0
31835,0.06779163131549673,812.7146027764768,0,0
8538,0.030827455156898484,833.0448996637059,0,0
47853,0.02863218050683312,834.2523007212418,0,0
40889,0.04036807101244216,827.7975609431569,0,0
46099,0.1420579507110147,771.868127108942,0,0
10823,0.09008787080641045,800.4516710564742,0,0
11333,0.07678304997004388,807.7693225164758,0,0
17862,0.03322386597582865,831.7268737132943,0,0
48468,0.036781931325809446,829.7699377708049,0,0
28202,0.06138746220199403,816.2368957889033,0,0
36841,0.10515824316063234,792.1629662616522,0,0
3166,0.05605963234167005,819.1672022120815,0,0
46050,0.06621135099153395,813.5837569546563,0,0
44983,0.04531945816485772,825.0742980093282,0,0
13623,0.08520893222974087,803.1350872736425,0,0
28356,0.07348258965443097,809.5845756900629,0,0
11103,0.07814570657386577,807.0198613843738,0,0
8290,0.036781931325809446,829.7699377708049,0,0
44151,0.02963442876474445,833.7010641793905,0,0
48896,0.12098638334666174,783.4574891593361,0,0
21275,0.11274401037698596,787.9907942926577,0,0
626,0.045273741765807646,825.0994420288058,0,0
6337,0.10721786563123055,791.0301739028232,0,0
38539,0.0641307334940049,814.7280965782974,0,0
11497,0.028520071529290137,834.3139606588904,0,0
13586,0.11083911167967568,789.0384885761785,0,0
34590,0.06681886349741133,813.2496250764237,0,0
42835,0.026778488408804094,835.2718313751577,0,0
16628,0.08818243468288305,801.4996609244143,0,0
32238,0.04256268835168769,826.5905214065718,0,0
12815,0.11160043478351848,788.6197608690649,0,0
7258,0.050781082667442835,822.0704045329064,0,0
19030,0.09076108909412663,800.0814009982304,0,0
27107,0.07050465807931126,811.2224380563788,0,0
22547,0.04497245075228393,825.2651520862438,0,0
25373,0.04433698375586095,825.6146589342765,0,0
24339,0.03602282261432017,830.1874475621239,0,0
22482,0.008269954424967318,845.451525066268,0,0
7355,0.030827455156898484,833.0448996637059,0,0
19700,0.09851375306610745,795.8174358136409,0,0
5579,0.11187850080046013,788.466824559747,0,0
30162,0.05714897138813022,818.5680657365284,0,0
