partner_id,prob_default,nova_score
21282,0.04527372965115833,825.0994486918629
12409,0.07584878096791682,808.2831704676457
31835,0.06779163131549673,812.7146027764768
8538,0.030827455156898484,833.0448996637059
47853,0.02863218050683312,834.2523007212418
40889,0.04036807101244216,827.7975609431569
46099,0.1420579507110147,771.868127108942
10823,0.09008787080641045,800.4516710564742
11333,0.07678304997004388,807.7693225164758
17862,0.03322386597582865,831.7268737132943
48468,0.036781931325809446,829.7699377708049
28202,0.06138746220199403,816.2368957889033
36841,0.10515824316063234,792.1629662616522
3166,0.05605963234167005,819.1672022120815
46050,0.06621135099153395,813.5837569546563
44983,0.04531945816485772,825.0742980093282
13623,0.08520893222974087,803.1350872736425
28356,0.07348258965443097,809.5845756900629
11103,0.07814570657386577,807.0198613843738
8290,0.036781931325809446,829.7699377708049
44151,0.02963442876474445,833.7010641793905
48896,0.12098638334666174,783.4574891593361
21275,0.11274401037698596,787.9907942926577
626,0.045273741765807646,825.0994420288058
6337,0.10721786563123055,791.0301739028232
38539,0.0641307334940049,814.7280965782974
11497,0.028520071529290137,834.3139606588904
13586,0.11083911167967568,789.0384885761785
34590,0.06681886349741133,813.2496250764237
42835,0.026778488408804094,835.2718313751577
16628,0.08818243468288305,801.4996609244143
32238,0.04256268835168769,826.5905214065718
12815,0.11160043478351848,788.6197608690649
7258,0.050781082667442835,822.0704045329064
19030,0.09076108909412663,800.0814009982304
27107,0.07050465807931126,811.2224380563788
22547,0.04497245075228393,825.2651520862438
25373,0.04433698375586095,825.6146589342765
24339,0.03602282261432017,830.1874475621239
22482,0.008269954424967318,845.451525066268
7355,0.030827455156898484,833.0448996637059
19700,0.09851375306610745,795.8174358136409
5579,0.11187850080046013,788.466824559747
30162,0.05714897138813022,818.5680657365284
20485,0.03776440573480622,829.2295768458566
9171,0.0631579656759195,815.2631188782443
1314,0.04531945816485772,825.0742980093282
29685,0.048698501756666006,823.2158240338337
6070,0.08027096192574175,805.850970940842
22804,0.14912627251594582,767.9805501162298
46282,0.08552038424594273,802.9637886647315
1273,0.036414111040976714,829.9722389274629
