partner_id,prob_default,nova_score,decision_reweighed,prob_default_baseline,nova_score_baseline,decision_baseline
21282,0.044492471652969344,825.5291405908669,1,0.04527372965115833,825.0994486918629,1
12409,0.07680483414416488,807.7573412207093,1,0.07584878096791682,808.2831704676457,1
31835,0.06802201405095802,812.5878922719731,1,0.06779163131549673,812.7146027764768,1
8538,0.03056659756520597,833.1883713391367,1,0.030827455156898484,833.0448996637059,1
47853,0.030745240587234362,833.0901176770211,1,0.02863218050683312,834.2523007212418,1
40889,0.042242928983618366,826.76638905901,1,0.04036807101244216,827.7975609431569,1
46099,0.14068212790368664,772.6248296529724,0,0.1420579507110147,771.868127108942,0
10823,0.09287478555700185,798.918867943649,1,0.09008787080641045,800.4516710564742,1
11333,0.07704847672062308,807.6233378036573,1,0.07678304997004388,807.7693225164758,1
17862,0.03260382613611558,832.0678956251364,1,0.03322386597582865,831.7268737132943,1
48468,0.03814484154930079,829.0203371478846,1,0.036781931325809446,829.7699377708049,1
28202,0.06241439575460294,815.6720823349684,1,0.06138746220199403,816.2368957889033,1
36841,0.11360483051745834,787.5173432153979,0,0.10515824316063234,792.1629662616522,0
3166,0.060958625960173964,816.4727557219043,1,0.05605963234167005,819.1672022120815,1
46050,0.07390177488371873,809.3540238139547,1,0.06621135099153395,813.5837569546563,1
44983,0.04654847439834594,824.3983390809098,1,0.04531945816485772,825.0742980093282,1
13623,0.08783373368665927,801.6914464723375,1,0.08520893222974087,803.1350872736425,1
28356,0.07417766546360012,809.2022839950199,1,0.07348258965443097,809.5845756900629,1
11103,0.08030138846896294,805.8342363420704,1,0.07814570657386577,807.0198613843738,1
8290,0.03814484154930079,829.0203371478846,1,0.036781931325809446,829.7699377708049,1
44151,0.02980591410757694,833.6067472408326,1,0.02963442876474445,833.7010641793905,1
48896,0.1254465359270174,781.0044052401404,0,0.12098638334666174,783.4574891593361,0
21275,0.1152761534566546,786.59811559884,0,0.11274401037698596,787.9907942926577,0
626,0.046400050562797106,824.4799721904616,1,0.045273741765807646,825.0994420288058,1
